"ime","plezalisce","ocena","dolzina"
Che mostro,Sicilija - San Vito Lo Capo,6a,30 m
Il socio,Sicilija - San Vito Lo Capo,6a+,35 m
Fran Zenta,Sicilija - San Vito Lo Capo,6c,25 m
Rossatue,Sicilija - San Vito Lo Capo,6c+,25 m
Ede,Sicilija - San Vito Lo Capo,7a+,25 m
Enoteca Randazzo,Sicilija - San Vito Lo Capo,7b,30 m
Sweet dreams are made of this,Sicilija - San Vito Lo Capo,6c,20 m
Long sleep,Sicilija - San Vito Lo Capo,6b+,30 m
Conscious change,Sicilija - San Vito Lo Capo,6b+,25 m
Silent sleep,Sicilija - San Vito Lo Capo,6a+,25 m
Bella Susanna,Sicilija - San Vito Lo Capo,7a,32 m
Long white line,Sicilija - San Vito Lo Capo,7b+,35 m
Long white night,Sicilija - San Vito Lo Capo,7c,55 m
Pioneer,Sicilija - San Vito Lo Capo,6c+,20 m
Superman,Sicilija - San Vito Lo Capo,7c+,32 m
Evil lurks behind every man's heart,Sicilija - San Vito Lo Capo,8a,55 m
Tears of freedom,Sicilija - San Vito Lo Capo,7a+,37 m
Il patrone nero,Sicilija - San Vito Lo Capo,8a,35 m
Fun&Seitenstrang,Sicilija - San Vito Lo Capo,6b,25 m
Harissa,Sicilija - San Vito Lo Capo,5b,20 m
Peperoncini,Sicilija - San Vito Lo Capo,6a,20 m
red necks,Sicilija - San Vito lo Capo (2),6b,22 m
toyo,Sicilija - San Vito lo Capo (2),6c,25 m
i miei 40 anni,Sicilija - San Vito lo Capo (2),7c,28 m
1,2euro,Sicilija - San Vito lo Capo (2),8a+,11 m
tu vo fa o calibano,Sicilija - San Vito lo Capo (2),6b+,14 m
mpachia pecura,Sicilija - San Vito lo Capo (2),7a+,15 m
La collina dei conigli,Sicilija - San Vito lo Capo (2),6b+,170 m
End of silence,Sicilija - San Vito lo Capo (2),7b,18 m
Sound check,Sicilija - San Vito lo Capo (2),6c+,18 m
Whitewall,Sicilija - San Vito lo Capo (2),7a,16 m
Seltsam anmutende Vollspacken,Sicilija - San Vito lo Capo (2),7b,26 m
Boandlkramer,Sicilija - San Vito lo Capo (2),7a,24 m
Cat walk,Sicilija - San Vito lo Capo (2),6c+,26 m
Blutbad,Sicilija - San Vito lo Capo (2),6c,25 m
new route,Sicilija - San Vito lo Capo (2),6c,16 m
Chaos,Sicilija - San Vito lo Capo (2),6c+,25 m
Training segreto,Sicilija - San Vito lo Capo (2),6c+,18 m
Troppo duci,Sicilija - San Vito lo Capo (2),7a,18 m
Quanto crucco sei!,Sicilija - San Vito lo Capo (2),7a,26 m
per i nostri amici,Sicilija - San Vito lo Capo (2),6b+,32 m
the wish,Sicilija - San Vito lo Capo (2),7c/c+,30 m
sugar daddy,Sicilija - San Vito lo Capo (2),6b,25 m
novantanonno,Sicilija - San Vito lo Capo (2),6b+,25 m
il cadinale moratoria,Sicilija - San Vito lo Capo (2),7c,15 m
tratt,Sicilija - San Vito lo Capo (2),7a+/b,35 m
enoteca randazzo,Sicilija - San Vito lo Capo (2),7b,30 m
Via Dei Romani,Sicilija - Sperone Est,6a,130 m
Operazione Delfino,Sistiana (Sesljan),5a+,19 m
Comici sx,Sistiana (Sesljan),5c,20 m
Comici sx - drugi del,Sistiana (Sesljan),4a,17 m
Comici dx,Sistiana (Sesljan),6a,20 m
Amici miei,Sistiana (Sesljan),6a,18 m
*,Sistiana (Sesljan),6a,20 m
Non ti scordar da me,Sistiana (Sesljan),6b,20 m
Ventura 1.,Sistiana (Sesljan),4c,25 m
Ventura 2.,Sistiana (Sesljan),5c,15 m
Via del pino,Sistiana (Sesljan),4b,25 m
Via del pino - drugi del,Sistiana (Sesljan),4a/a+,50 m
Nei colori del giorno,Sistiana (Sesljan),5a+,45 m
Occhi azzurri,Sistiana (Sesljan),6a,37 m
Panza sinistra,Sistiana (Sesljan),5b,32 m
Bretella,Sistiana (Sesljan),6c,30 m
Panza dell'elefante,Sistiana (Sesljan),5c+,20 m
via di destra,Sistiana (Sesljan),5a,12 m
Messenio,Sistiana (Sesljan),6c+,32 m
Panza destra 1.,Sistiana (Sesljan),5c,20 m
Panza destra 2.,Sistiana (Sesljan),5a,15 m
Acqua chiara,Sistiana (Sesljan),6b+,20 m
Stelle marine,Sistiana (Sesljan),6a,16 m
Falso movimento,Sistiana (Sesljan),7b+,23 m
Rigole,Sistiana (Sesljan),5a,15 m
Rigole - drugi del,Sistiana (Sesljan),4a,12 m
Libera,Sistiana (Sesljan),P,23 m
Olivoli`,Sistiana (Sesljan),6b,35 m
Arupacupa,Sistiana (Sesljan),5b,35 m
Aria nuova prvi del,Sistiana (Sesljan),5b+,30 m
Aria nuova,Sistiana (Sesljan),6a+,35 m
Placcometro,Sistiana (Sesljan),5b+,15 m
A tutta birra,Sistiana (Sesljan),4c/c+,20 m
Succo e polpa,Sistiana (Sesljan),5b/b+,20 m
Serena,Sistiana (Sesljan),5b,20 m
Rolling stones,Sistiana (Sesljan),6a,30 m
Diedro,Sistiana (Sesljan),3,20 m
Spigolo,Sistiana (Sesljan),6c,20 m
Pesce d'aprile,Sistiana (Sesljan),7a,20 m
Classica,Sistiana (Sesljan),5a+/b,20 m
Nel blu...,Sistiana (Sesljan),6b/b+,20 m
Questione di feeling,Sistiana (Sesljan),6a,20 m
Graziella,Sistiana (Sesljan),5a,30 m
Silvia,Sistiana (Sesljan),5b,30 m
Kabuk,Sistiana (Sesljan),5c,40 m
La spaccatura,Sistiana (Sesljan),6a+,35 m
Kalman 1. del,Sistiana (Sesljan),6a,20 m
Kalman 2.del,Sistiana (Sesljan),5b+/c,18 m
Brustis 1 (2 raztežaja - 5b + 6a),Somplego,6a,30 m
Busutis 2 (2 raztežaja),Somplego,6c,25 m
mano,Somplego,7b,20 m
slerch,Somplego,7a+,32 m
Zio Ulcera,Somplego,7a,25 m
Occhio Di Tigre (6a+,7a, 7a),Somplego,6a+,35 m
Tranqi,Somplego,7a+,27 m
jking for a day,Somplego,7b+,24 m
Jota E' Minesota,Somplego,6c,30 m
La Filovia,Somplego,6a,14 m
brez imena,Somplego,6c,20 m
ucio te ga cjolto la califfa,Somplego,6b+,31 m
Rossa fumetto,Sperlonga,5c+,24 m
Rinaldik il terrible,Sperlonga,6a,24 m
La moda del pesce,Sperlonga,6a+,15 m
Dynet,Sperlonga,6a+,12 m
Flic,Sperlonga,6a+,16 m
Hasta Manana,St. Vigil in Enneberg - Vedla,5b,12 m
Senor,St. Vigil in Enneberg - Vedla,5b,12 m
Senorita,St. Vigil in Enneberg - Vedla,5a,12 m
Hasta Luengo,St. Vigil in Enneberg - Vedla,6a,15 m
La Principiante,St. Vigil in Enneberg - Vedla,3,20 m
Migel son mi,St. Vigil in Enneberg - Vedla,5a,12 m
Spirita,St. Vigil in Enneberg - Vedla,4a,12 m
N.N.,St. Vigil in Enneberg - Vedla,6a,12 m
Il tetto,St. Vigil in Enneberg - Vedla,5a,12 m
Alpin Tamersc,St. Vigil in Enneberg - Vedla,4a,20 m
Tequila,St. Vigil in Enneberg - Vedla,6b,12 m
Die Kleine,St. Vigil in Enneberg - Vedla,3,15 m
Claudia,Steinerne Stadt / Passo di Sella,5c,10 m
Poppi,Steinerne Stadt / Passo di Sella,6b,10 m
Natalie,Steinerne Stadt / Passo di Sella,6a,10 m
Regina,Steinerne Stadt / Passo di Sella,5b,10 m
Mary Loo,Steinerne Stadt / Passo di Sella,5a,9 m
Edith,Steinerne Stadt / Passo di Sella,6a,9 m
Helene,Steinerne Stadt / Passo di Sella,5c,9 m
Stoanschmetzer,Steinerne Stadt / Passo di Sella,4a,8 m
Gundula,Steinerne Stadt / Passo di Sella,3,7 m
C - Mammolo,Steinerne Stadt / Passo di Sella,4a,12 m
B1 - Regina,Steinerne Stadt / Passo di Sella,4c,10 m
B1 - Zanna bianca,Steinerne Stadt / Passo di Sella,5a,15 m
B1 - Lord,Steinerne Stadt / Passo di Sella,5c,10 m
B1 - Laica,Steinerne Stadt / Passo di Sella,4b,10 m
B1 - Diuch,Steinerne Stadt / Passo di Sella,4a,10 m
B1 - Jerry,Steinerne Stadt / Passo di Sella,5a,7 m
B1 - Tom,Steinerne Stadt / Passo di Sella,5a,7 m
Acquacotta,Toscana - Monte Calvo, jugovzhodna stena,5c,12 m
Panzanella,Toscana - Monte Calvo, jugovzhodna stena,6a,10 m
Il calcciucco di Sandra,Toscana - Monte Calvo, jugovzhodna stena,6a+,10 m
Ribollita,Toscana - Monte Calvo, jugovzhodna stena,6b,10 m
Artofago,Toscana - Monte Calvo, jugovzhodna stena,5c,12 m
Santa Pacienza,Toscana - Monte Calvo, jugovzhodna stena,5b,12 m
Via Cava,Toscana - Monte Calvo, jugovzhodna stena,5a,12 m
Fior di Rosella,Toscana - Monte Calvo, jugovzhodna stena,5b,12 m
Ode al Vino,Toscana - Monte Calvo, jugovzhodna stena,6a,12 m
Caput Boreanum,Toscana - Monte Calvo, jugovzhodna stena,5c,12 m
Dulcis in Fundo,Toscana - Monte Calvo, jugovzhodna stena,5a,10 m
L'ama,Toscana - Poggio al Montone, severozahodna stena,5a,10 m
Via del chiodo,Toscana - Poggio al Montone, severozahodna stena,4b,10 m
Etruria,Toscana - Poggio al Montone, severozahodna stena,5c,12 m
Vet luna,Toscana - Poggio al Montone, severozahodna stena,6a,12 m
Tosc Anna,Toscana - Poggio al Montone, severozahodna stena,6b,12 m
La spaccata,Toscana - Poggio al Montone, severozahodna stena,5b,12 m
Diedro,Toscana - Poggio al Montone, severozahodna stena,5c,20 m
Kermitt,Toscana - Poggio al Montone, severozahodna stena,5a,12 m
Prima prova,Travesio,4a,10 m
Senza spit,Travesio,4b,10 m
Logica Metius,Travesio,6a,10 m
Se ti perdi tuo danno,Travesio,5c,10 m
Rinditi Cont,Travesio,5a,10 m
Il muro del pianto,Travesio,6a+,12 m
Yosemiti,Travesio,6b,12 m
Superfranco,Travesio,6a+,12 m
Ciao Pep!,Travesio,6b,12 m
Orzoway,Travesio,6b+,12 m
Orzo bimbo,Travesio,6a+,14 m
Cris cros l incrocio magico,Travesio,7a+,15 m
La storia infinita,Travesio,6b,17 m
Risolvi il quiz,Travesio,7b,15 m
La rabbia delgli angeli,Travesio,6c+/7a,15 m
Esagerata,Travesio,7a/a+,17 m
Relax,Travesio,7b,18 m
Fusione fredda,Travesio,8a,20 m
La pancia diretta,Travesio,7c+,20 m
La pancia del drago,Travesio,7a+,20 m
La diretta del Racli,Travesio,7b,22 m
La diretta variante DX,Travesio,P,22 m
Urla del silenzio,Travesio,7b+,20 m
Volpe che danza R1,Travesio,6a,10 m
Volpe che danza R2,Travesio,7a,20 m
Pompa dur,Travesio,7b+,20 m
Namaste,Travesio,7b,20 m
Quando il sogno diventa namaste,Travesio,8a,15 m
Quando il sogno diventa realta,Travesio,7c,20 m
La sporcacciona,Travesio,6c,23 m
Borghesia,Travesio,7a+,23 m
Maco,Travesio,7b,23 m
Uchi dreta,Travesio,7b+,23 m
Fessura del grillo,Travesio,6c,23 m
Governo gladiatore,Travesio,7a,23 m
Stato confusionale,Travesio,6c,23 m
Fulmini e saete,Travesio,6a+,20 m
Criticata,Travesio,5b,18 m
Tic tac tuc,Travesio,5a,18 m
Un trapano e una canna,Travesio,6a+,15 m
Voglia di gnocchi,Travesio,6c,15 m
Verde speranza,Travesio,7a+,13 m
Dolce Emili,Travesio,6c+,13 m
Amazzonia,Travesio,5c,13 m
Il Muros e la Murosa,Travesio,6a,13 m
Baby,Val Bartolo,3,8 m
Dulfer camino,Val Bartolo,5a/a+,12 m
Doppio gioco,Val Bartolo,5c/c+,19 m
Tony Taj,Val Bartolo,4c,18 m
50 lire,Val Bartolo,4b,19 m
Clapon,Val Bartolo,5a/a+,20 m
Beppe,Val Bartolo,5b,20 m
Ce grinte!,Val Bartolo,5c+/6a,20 m
Sfiga, che Fatica,Val Bartolo,5c,20 m
Sesto tecnico,Val Bartolo,5c,18 m
Infeltriti,Val Bartolo,5b,8 m
Mixomiceto,Val di Mello - Cascata del ferro,5c,30 m
L'albero delle pere,Val di Mello - Le dimore degli dei,VI+,260 m
Il risveglio di Kundalini,Val di Mello - Le dimore degli dei,VII-/V-VI,350 m
Polimago',Val di Mello - Scoglio della metamorfosi,VI+/V+,230 m
Luna nascente,Val di Mello - Scoglio della metamorfosi,VII/V-VI,340 m
Tunnel diagonale,Val di Mello - Sperone degli gnomi,V/IV+,85 m
Cunicolo acuto,Val di Mello - Sperone del sarcofago,V+/IV-V,80 m
L'alba del nirvana,Val di Mello - Tempio dell'eden,VI/IV-V,150 m
Morti viventi,Val di Mello - Tempio dell'eden,VII+/V+,50 m
Stomaco peloso,Val di Mello - Trapezio d'argento,IV+/III-IV,60 m
Marmax,Val Romana Alta,5a,25 m
Pitons,Val Romana Alta,5a,25 m
Glemone non e...!,Val Romana Alta,5b,70 m
Diedo,Val Romana Alta,5a,70 m
Pil. Delle Svizzere,Val Romana Alta,6a+,26 m
Volo Generale,Val Romana Alta,6a,26 m
Virgin Radio,Val Romana Alta,6a,20 m
Nicole,Val Romana Alta,5c,20 m
Denise,Val Romana Alta,5c,20 m
Maniglia rovescia,Val Romana Alta,5b,27 m
14 giugno,Val Romana Alta,4c,25 m
Malvuerich,Val Romana Alta,4b,24 m
Simpri plui su,Val Romana Alta,5a+,29 m
Mai avonde,Val Romana Alta,5a,25 m
La Clessidra,Val Romana Alta,4c,24 m
Blanc e Bross,Val Romana Alta,6b,12 m
Sblif,Val Romana Alta,6c,12 m
No spigul,Val Romana Alta,5c+,12 m
Tetutis,Val Romana Alta,6a,12 m
Solo per giovani,Val Romana Alta,6c+,10 m
Edilteco,Val Romana Alta,6a+/b,10 m
Gagigi,Val Romana Alta,6c,10 m
Diedronick,Val Romana Bassa,6c+,53 m
Diedronick (1.r),Val Romana Bassa,6a+,28 m
Diedronick (ogrevanje),Val Romana Bassa,4a,22 m
Free Max,Val Romana Bassa,5c,28 m
La Curta,Val Romana Bassa,4c/c+,19 m
Mal di Pansa,Val Romana Bassa,5c,25 m
Cuel dal Fit,Val Romana Bassa,6a,25 m
Regletta,Val Romana Bassa,5c+/6a,25 m
Ibis,Val Romana Bassa,4c,10 m
Soilfel,Val Romana Bassa,5c+,25 m
O la o rompi,Val Romana Bassa,5c+,23 m
Pensavo Peggio,Val Romana Bassa,5c,25 m
Scanisceddu,Val Romana Bassa,5b+,28 m
Spigul,Val Romana Bassa,5a,28 m
Il Ross,Val Romana Bassa,5b,28 m
Diedrandrea,Val Romana Bassa,5a/a+,28 m
Il Buco,Val Romana Bassa,6a,28 m
Va in la,Val Romana Bassa,6a+,28 m
Maraigio,Val Romana Bassa,5c,28 m
Salopette...!,Val Romana Bassa,6a,28 m
Azimut,Val Romana Bassa,5c,28 m
Formadi Frant,Val Romana Bassa,5a/a+,22 m
Emmental,Val Romana Bassa,5a/a+,22 m
Pellicina,Val Romana Bassa,6a,22 m
La terribile,Val Romana Bassa,6a,22 m
Avanguardie,Valle Del Turano - La Fortezza,6b,15 m
La giggiata,Valle Del Turano - La Fortezza,6b,18 m
Cos`é facile,Valle Del Turano - La Fortezza,5b,17 m
Piramid,Valle Del Turano - La Fortezza,5c+,16 m
La normale,Valle Del Turano - La Fortezza,5c,18 m
Abu,Valle Del Turano - La Fortezza,6a,12 m
Baab,Valle Del Turano - La Fortezza,6a+,15 m
Zhama,Valle Del Turano - La Fortezza,6b,18 m
Albedo,Valle Del Turano - La Fortezza,6c,18 m
Nigredo,Valle Del Turano - La Fortezza,7b+,20 m
Cucciolo,Valle Del Turano - La Fortezza,P,18 m
La valle del 2000,Valle Del Turano - La Fortezza,8a,18 m
Sogno  lucido,Valle Del Turano - La Fortezza,8a+,20 m
Observe,Valle Del Turano - La Fortezza,7c+,17 m
Attrazione,Valle Del Turano - La Fortezza,7b+,12 m
Ascoltati,Valle Del Turano - La Fortezza,7b,12 m
Fuori dai pendoli,Valle Del Turano - La Fortezza,6c,12 m
Mente,Valle Del Turano - La Fortezza,7b+,18 m
Corpo,Valle Del Turano - La Fortezza,7c,18 m
Maya,Valle Del Turano - La Fortezza,7c+,22 m
RCC,Valle Del Turano - La Fortezza,8b,18 m
Ipocrisia,Valle Del Turano - La Fortezza,8a,18 m
Cagliostro,Valle Del Turano - La Fortezza,6c+,16 m
Deleta resurgo,Valle Del Turano - La Fortezza,6c+,16 m
Quantico,Valle Del Turano - La Fortezza,7b,15 m
Lo specchio,Valle Del Turano - La Fortezza,7a+,16 m
Tutimenti,Valle Del Turano - La Fortezza,7a+,18 m
Adamo,Valle Del Turano - La Fortezza,6c,18 m
Esegesi,Valle Del Turano - La Fortezza,5c+,18 m
Il frutto della conoscenza,Valle Del Turano - La Fortezza,5c+,18 m
Le scelte,Valle Del Turano - La Fortezza,6a+,18 m
Negli occhi,Valle Del Turano - La Fortezza,6b,18 m
Aia,Valle Del Turano - La Fortezza,8b,18 m
Thor,Valle Del Turano - La Fortezza,8a,18 m
Tengo famiglia,Valle Del Turano - La Fortezza,8b,18 m
Come mi pare,Valle Del Turano - La Fortezza,7c+,18 m
Lo posso entrare,Valle Del Turano - La Fortezza,7a+,18 m
Meritocrazia,Valle Del Turano - La Fortezza,6c+,18 m
La montagna é cultura,Valle Del Turano - La Fortezza,6b,18 m
Medioman,Valle Del Turano - La Fortezza,7c,18 m
Tasche,Valli Giudicarie - Breguzzo,6a,10 m
Cagola,Valli Giudicarie - Breguzzo,6a,10 m
Borsac,Valli Giudicarie - Breguzzo,7b+,18 m
Polenti,Valli Giudicarie - Breguzzo,7c+,20 m
Mondi,Valli Giudicarie - Breguzzo,8b+,20 m
Giogi,Valli Giudicarie - Breguzzo,7a+,26 m
Sechi,Valli Giudicarie - Breguzzo,7b,30 m
Struz,Valli Giudicarie - Breguzzo,7c,30 m
Rimonel,Valli Giudicarie - Breguzzo,7c,30 m
Perobale L1,Valli Giudicarie - Breguzzo,6c,19 m
Perobale L2,Valli Giudicarie - Breguzzo,7b+,9 m
Forli,Valli Giudicarie - Breguzzo,8a,28 m
Barachi,Valli Giudicarie - Breguzzo,7a,27 m
Bagoi,Valli Giudicarie - Breguzzo,6c,25 m
Panci,Valli Giudicarie - Breguzzo,2,23 m
Pagnate,Valli Giudicarie - Breguzzo,7c/c+,23 m
Castei,Valli Giudicarie - Breguzzo,7b,23 m
Patafi,Valli Giudicarie - Breguzzo,7a,21 m
Mitildi,Valli Giudicarie - Breguzzo,6b+,20 m
Pimpinel,Valli Giudicarie - Breguzzo,6c,22 m
Prenzip,Valli Giudicarie - Breguzzo,6a+,17 m
Postelari,Valli Giudicarie - Breguzzo,5c,16 m
Feraci,Valli Giudicarie - Breguzzo,6a+,13 m
Bartoi,Valli Giudicarie - Breguzzo,5a,13 m
I me noni,Valli Giudicarie - Coltura,6b+,30 m
La buena estrella,Valli Giudicarie - Coltura,6c,20 m
Regina della notte,Valli Giudicarie - Coltura,6b+,28 m
SN,Valli Giudicarie - Coltura,6a+,25 m
Orson & Ruga,Valli Giudicarie - Coltura,5a,15 m
Blocco mentale,Valli Giudicarie - Coltura,6b+,18 m
Break finger P1,Valli Giudicarie - Coltura,7a,13 m
Break finger P2,Valli Giudicarie - Coltura,6a,15 m
Falchetti,Valli Giudicarie - Coltura,6b+,12 m
Baza,Valli Giudicarie - Coltura,6a,11 m
Bella Gita,Valli Giudicarie - Coltura,6b,10 m
Le Fazil 1,Valli Giudicarie - Comano,4b,14 m
Le Fazil 2,Valli Giudicarie - Comano,4b,14 m
Enprova,Valli Giudicarie - Comano,4c,14 m
Giliola,Valli Giudicarie - Comano,6a,15 m
Polpastreli,Valli Giudicarie - Comano,6c,15 m
Gronda,Valli Giudicarie - Comano,6c+,15 m
Dritdreiciodi,Valli Giudicarie - Comano,6a+,16 m
Sfiga,Valli Giudicarie - Comano,6a,16 m
Crodo,Valli Giudicarie - Comano,6c,17 m
Via sass,Valli Giudicarie - Comano,6b,17 m
Gnoc,Valli Giudicarie - Comano,6b+,17 m
Scaia,Valli Giudicarie - Comano,7c+,17 m
Cuba libre,Valli Giudicarie - Comano,7b+,20 m
Goccia,Valli Giudicarie - Comano,6c,19 m
Delta,Valli Giudicarie - Comano,6b+,19 m
Tangenziale,Valli Giudicarie - Comano,7b,20 m
Francesca,Valli Giudicarie - Comano,7b,17 m
Spinaci,Valli Giudicarie - Comano,7a+,18 m
Ignota,Valli Giudicarie - Comano,7b,19 m
Madur,Valli Giudicarie - Comano,6c+,20 m
Panoramica,Valli Giudicarie - Comano,7a+,18 m
Topo Gogio,Valli Giudicarie - Comano,7a+,19 m
Fragole,Valli Giudicarie - Comano,8a,19 m
Fragole con panna,Valli Giudicarie - Comano,7b+,19 m
Bernardi,Valli Giudicarie - Comano,7b,17 m
L aderenza,Valli Giudicarie - Comano,7b,16 m
La carega,Valli Giudicarie - Comano,8a,12 m
Il buco,Valli Giudicarie - Comano,7c,12 m
Spalla che ti passa,Valli Giudicarie - Comano,8a+,10 m
Pilastro Moana,Valli Giudicarie - Croz de le Niere,6a,20 m
Il pigro,Valli Giudicarie - Croz de le Niere,5b,20 m
Diedro 84,Valli Giudicarie - Croz de le Niere,4c,25 m
La Volpe,Valli Giudicarie - Croz de le Niere,4c,26 m
Gigi problem,Valli Giudicarie - Croz de le Niere,5a,8 m
Cavalcando L Asino,Valli Giudicarie - Croz de le Niere,4c,18 m
Salli o scendi,Valli Giudicarie - Croz de le Niere,5b,25 m
Green,Valli Giudicarie - Croz de le Niere,5a,25 m
Via della domenica,Valli Giudicarie - Croz de le Niere,5a,25 m
La Riscosa del Codardo,Valli Giudicarie - Croz de le Niere,5c,18 m
Sti du braci,Valli Giudicarie - Croz de le Niere,6b+,12 m
La Volpe 2,Valli Giudicarie - Croz de le Niere,4b,20 m
Un posto al sole,Valli Giudicarie - Croz de le Niere,6a,15 m
Green 2,Valli Giudicarie - Croz de le Niere,4c,20 m
Ten years after,Valli Giudicarie - Croz de le Niere,6a+,20 m
Via della domenica 2,Valli Giudicarie - Croz de le Niere,5a,15 m
Semaforo rosso,Valli Giudicarie - Croz de le Niere,6a,15 m
Dolci creature,Valli Giudicarie - Croz de le Niere,6a,15 m
Volin curva,Valli Giudicarie - Croz de le Niere,6b,15 m
Nanniniga,Valli Giudicarie - Croz de le Niere,5b,17 m
Sabato,Valli Giudicarie - Croz de le Niere,4b,17 m
Giardino nascosto,Valli Giudicarie - Croz de le Niere,5b,17 m
Emental,Valli Giudicarie - Croz de le Niere,4a,17 m
Botanica,Valli Giudicarie - Croz de le Niere,6a+,18 m
I seguigi,Valli Giudicarie - Croz de le Niere,6b+,20 m
El Dildo,Valli Giudicarie - Croz de le Niere,6c,18 m
Superdildo,Valli Giudicarie - Croz de le Niere,6b+,15 m
Pepa,Valli Giudicarie - Croz de le Niere,7a,15 m
Il Pinocchi,Valli Giudicarie - Croz de le Niere,P,15 m
Just for one day,Valli Giudicarie - Croz de le Niere,8a,20 m
Il simpatico Funaki,Valli Giudicarie - Croz de le Niere,4c,15 m
No smoking,Valli Giudicarie - Croz de le Niere,4c,15 m
La Certosina,Valli Giudicarie - Croz de le Niere,5a,12 m
Cos,Valli Giudicarie - Croz de le Niere,5b,15 m
Pancetta,Valli Giudicarie - Croz de le Niere,6a,12 m
I coioni,Valli Giudicarie - Croz de le Niere,4c,12 m
I titoni,Valli Giudicarie - Croz de le Niere,5c,12 m
5.11.1986 P1,Valli Giudicarie - Croz de le Niere,5a,12 m
5.11.1986 P2,Valli Giudicarie - Croz de le Niere,7c+,16 m
Buoker T.,Valli Giudicarie - Croz de le Niere,4b,12 m
La Raza,Valli Giudicarie - Croz de le Niere,4b,12 m
Mafalda,Valli Giudicarie - Croz de le Niere,6b,35 m
Anni 60,Valli Giudicarie - Croz de le Niere,4b,35 m
Sindrome da cofano,Valli Giudicarie - Croz de le Niere,6b,15 m
La fine del socialita,Valli Giudicarie - Croz de le Niere,7b+,12 m
No stop,Valli Giudicarie - Croz de le Niere,6b+,12 m
Via dei no Boni P1,Valli Giudicarie - Croz de le Niere,4c,25 m
Via dei no Boni P2,Valli Giudicarie - Croz de le Niere,5a,22 m
L Equivoco,Valli Giudicarie - Croz de le Niere,5c,20 m
L Equivoco P2,Valli Giudicarie - Croz de le Niere,5c,15 m
Via delle Ivane P1,Valli Giudicarie - Croz de le Niere,6a+,20 m
Via delle Ivane P2,Valli Giudicarie - Croz de le Niere,6b,15 m
Avanagana,Valli Giudicarie - Croz de le Niere,6c,15 m
Garabombo P1,Valli Giudicarie - Croz de le Niere,6a+,25 m
Garabombo P2,Valli Giudicarie - Croz de le Niere,6a+,15 m
Carie,Valli Giudicarie - Croz de le Niere,6a+,25 m
Via Preore P1,Valli Giudicarie - Croz de le Niere,6a,20 m
Via Preore P2,Valli Giudicarie - Croz de le Niere,5b,15 m
Poco sale P1,Valli Giudicarie - Croz de le Niere,6b+,20 m
Poco sale P2,Valli Giudicarie - Croz de le Niere,6b,15 m
Lucky luke P1,Valli Giudicarie - Croz de le Niere,6a,20 m
Lucky Luke P2,Valli Giudicarie - Croz de le Niere,5c,18 m
N.N.,Valli Giudicarie - Croz de le Niere,6b+,25 m
L ocio dei Senter,Valli Giudicarie - Croz de le Niere,6c+,25 m
Mr. Durro,Valli Giudicarie - Croz de le Niere,7c,25 m
Scannamento,Valli Giudicarie - Croz de le Niere,7a,23 m
Globulo,Valli Giudicarie - Croz de le Niere,6b+,23 m
N.N,Valli Giudicarie - Croz de le Niere,7b,25 m
La fata,Valli Giudicarie - Croz de le Niere,7a+/b,20 m
Guardian delle Niere,Valli Giudicarie - Croz de le Niere,7a,20 m
N N.,Valli Giudicarie - Croz de le Niere,6b,20 m
N N,Valli Giudicarie - Croz de le Niere,7a+,20 m
Picole pesti,Valli Giudicarie - Val Algone,4c,10 m
Rien va plus,Valli Giudicarie - Val Algone,6c,15 m
Transgenica,Valli Giudicarie - Val Algone,7a,20 m
Taln,Valli Giudicarie - Val Algone,7b,18 m
L unico vizio de me fiol,Valli Giudicarie - Val Algone,6b,15 m
Tuc Tuc,Valli Giudicarie - Val Algone,6a+,15 m
Il nido del ragno,Valli Giudicarie - Val Algone,6b+,25 m
Tolleranza zero,Valli Giudicarie - Val Algone,7a,25 m
Nee,Valli Giudicarie - Val Algone,6c,25 m
Ayutthaya,Valli Giudicarie - Val Algone,6c,25 m
Snoopy bar bondo,Valli Giudicarie - Val Algone,6b,25 m
Damela Tomela,Valli Giudicarie - Val Algone,6b,20 m
Il Faggio,Valli Giudicarie - Val Algone,6a+,20 m
Batti il tuo tempo,Valli Giudicarie - Val Algone,6a,20 m
Per fottere il potere,Valli Giudicarie - Val Algone,6b,20 m
Test,Valli Giudicarie - Val Algone,6a,20 m
Arbeit macht strac,Valli Giudicarie - Val Algone,5b,20 m
Grosse busent,Valli Giudicarie - Val Algone,5b,15 m
Klinker,Valli Giudicarie - Val Algone,5a,20 m
Specchio specchio,Valli Giudicarie - Val Algone,6b,18 m
Mosaico,Valli Giudicarie - Val Algone,6a+,20 m
Garrapata,Valli Giudicarie - Val Algone,6a,25 m
Tiro mancino,Valli Giudicarie - Val Algone,6a+,15 m
Eruzione cutanea,Valli Giudicarie - Val Algone,6b+,20 m
Deja vu,Valli Giudicarie - Val Algone,6b+,20 m
Lo scorpione,Valli Giudicarie - Val Algone,6c,20 m
Stir it up,Valli Giudicarie - Val Algone,6c,20 m
BKK,Valli Giudicarie - Val Algone,6c+,20 m
Via dei telebani,Valli Giudicarie - Val Algone,6a+,18 m
Dolphinger,Valli Giudicarie - Val Algone,7a+,18 m
Nefertiti,Valli Giudicarie - Val Algone,7a,18 m
Jah,Valli Giudicarie - Val Algone,6c+,20 m
Raperonzolo,Valli Giudicarie - Val Algone,6b,20 m
Diedrolo,Valli Giudicarie - Val Algone,6c+,20 m
